25
0;Piqahumoaya
1;Nefexairevu
2;Cogibekaned
3;Uxifufuzeso
4;Tujeropugir
5;Poruyetawoy
6;Siyoqaevake
7;Fomunumekes
8;Vosuenikocu
9;Fotusuyisoa
10;Daooefizice
11;Ejevivubiya
12;Pueyifibipo
13;Jaruipoamee
14;Hoqeqaqumiu
15;Jalioveowex
16;Wumunubucok
17;Sizovotidan
18;Lujeheixuso
19;Nukufuuxazo
20;Zimomaqooko
21;Tuyunioaugu
22;Qicedoutiio
23;Joayezovice
24;Poajefigiba
0.00;31.27;0.00;42.95;92.48;38.34;0.00;0.00;0.00;92.12;0.00;0.00;0.00;82.10;0.00;59.34;0.00;0.00;0.00;76.31;0.00;62.63;38.38;21.13;85.55
34.27;0.00;11.43;0.00;54.35;41.53;62.99;50.78;0.00;0.00;0.00;66.20;0.00;0.00;0.00;106.01;75.42;0.00;0.00;0.00;0.00;19.27;83.80;74.76;40.51
0.00;11.49;0.00;86.56;0.00;37.72;17.64;0.00;59.23;20.31;54.89;0.00;0.00;86.07;98.39;27.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;35.92;0.00
42.95;0.00;86.56;0.00;68.78;0.00;0.00;0.00;37.62;74.72;40.34;0.00;0.00;0.00;0.00;0.00;0.00;37.86;56.71;38.13;0.00;0.00;64.35;0.00;101.49
92.48;54.35;0.00;68.78;0.00;76.04;0.00;99.45;0.00;58.39;0.00;26.46;0.00;0.00;0.00;0.00;0.00;39.64;25.58;0.00;0.00;0.00;69.25;0.00;0.00
38.34;41.53;37.72;0.00;76.04;0.00;25.19;63.76;0.00;60.17;33.95;50.13;0.00;75.60;54.48;0.00;0.00;89.00;0.00;96.87;0.00;86.47;0.00;0.00;41.84
0.00;62.99;17.64;0.00;0.00;25.19;0.00;45.88;0.00;60.37;36.56;25.86;51.73;0.00;0.00;0.00;38.27;50.93;0.00;92.24;0.00;104.99;0.00;0.00;69.03
0.00;50.78;0.00;0.00;99.45;63.76;45.88;0.00;71.97;106.87;109.17;49.20;0.00;0.00;0.00;0.00;68.20;37.54;85.97;0.00;83.05;0.00;0.00;96.43;0.00
0.00;0.00;59.23;37.62;0.00;0.00;0.00;71.97;0.00;104.02;0.00;0.00;0.00;60.08;66.18;17.42;0.00;0.00;0.00;0.00;42.84;0.00;77.63;15.75;0.00
92.12;0.00;20.31;74.72;58.39;60.17;60.37;106.87;104.02;0.00;76.15;0.00;40.36;68.45;0.00;37.72;29.96;16.23;0.00;78.18;94.68;105.82;0.00;66.51;103.13
0.00;0.00;54.89;40.34;0.00;33.95;36.56;109.17;0.00;76.15;0.00;92.44;0.00;66.52;0.00;0.00;0.00;50.71;0.00;82.97;0.00;86.90;88.06;51.23;0.00
0.00;66.20;0.00;0.00;26.46;50.13;25.86;49.20;0.00;0.00;92.44;0.00;104.59;95.81;0.00;0.00;98.59;0.00;75.00;0.00;56.28;0.00;0.00;0.00;71.31
0.00;0.00;0.00;0.00;0.00;0.00;51.73;0.00;0.00;40.36;0.00;104.59;0.00;76.69;0.00;0.00;0.00;0.00;0.00;0.00;18.28;75.59;0.00;65.93;12.81
82.10;0.00;86.07;0.00;0.00;75.60;0.00;0.00;60.08;68.45;66.52;95.81;76.69;0.00;71.11;0.00;21.64;0.00;0.00;69.52;90.15;0.00;59.22;90.26;85.62
0.00;0.00;98.39;0.00;0.00;54.48;0.00;0.00;66.18;0.00;0.00;0.00;0.00;71.11;0.00;109.54;78.66;0.00;13.93;0.00;79.98;51.90;22.79;0.00;0.00
59.34;106.01;27.40;0.00;0.00;0.00;0.00;0.00;17.42;37.72;0.00;0.00;0.00;0.00;109.54;0.00;15.36;42.38;0.00;45.45;0.00;29.86;0.00;0.00;83.56
0.00;75.42;0.00;0.00;0.00;0.00;38.27;68.20;0.00;29.96;0.00;98.59;0.00;21.64;78.66;15.36;0.00;57.12;52.86;0.00;68.09;0.00;0.00;38.27;65.30
0.00;0.00;0.00;37.86;39.64;89.00;50.93;37.54;0.00;16.23;50.71;0.00;0.00;0.00;0.00;42.38;57.12;0.00;106.81;55.47;12.20;15.93;0.00;90.23;50.71
0.00;0.00;0.00;56.71;25.58;0.00;0.00;85.97;0.00;0.00;0.00;75.00;0.00;0.00;13.93;0.00;52.86;106.81;0.00;91.47;21.61;60.78;0.00;39.98;20.09
76.31;0.00;0.00;38.13;0.00;96.87;92.24;0.00;0.00;78.18;82.97;0.00;0.00;69.52;0.00;45.45;0.00;55.47;91.47;0.00;101.89;99.14;55.20;0.00;42.84
0.00;0.00;0.00;0.00;0.00;0.00;0.00;83.05;42.84;94.68;0.00;56.28;18.28;90.15;79.98;0.00;68.09;12.20;21.61;101.89;0.00;16.45;0.00;73.95;0.00
62.63;19.27;0.00;0.00;0.00;86.47;104.99;0.00;0.00;105.82;86.90;0.00;75.59;0.00;51.90;29.86;0.00;15.93;60.78;99.14;16.45;0.00;31.26;0.00;10.70
38.38;83.80;0.00;64.35;69.25;0.00;0.00;0.00;77.63;0.00;88.06;0.00;0.00;59.22;22.79;0.00;0.00;0.00;0.00;55.20;0.00;31.26;0.00;58.34;102.06
21.13;74.76;35.92;0.00;0.00;0.00;0.00;96.43;15.75;66.51;51.23;0.00;65.93;90.26;0.00;0.00;38.27;90.23;39.98;0.00;73.95;0.00;58.34;0.00;42.66
85.55;40.51;0.00;101.49;0.00;41.84;69.03;0.00;0.00;103.13;0.00;71.31;12.81;85.62;0.00;83.56;65.30;50.71;20.09;42.84;0.00;10.70;102.06;42.66;0.00
